id,difficulty,forensic,flags
sql-e01,Easy,false,""
sql-e02,Easy,false,""
sql-e03,Easy,false,""
sql-e04,Easy,false,""
sql-e05,Easy,false,""
sql-e06,Easy,false,""
sql-e07,Easy,false,""
sql-e08,Easy,false,""
sql-e09,Easy,false,""
sql-e10,Easy,false,""
sql-e11,Easy,false,""
sql-e12,Easy,false,""
sql-e13,Easy,false,""
sql-e20,Easy,false,""
sql-e23,Easy,false,""
sql-e26,Easy,false,""
sql-e29,Easy,false,""
sql-e32,Easy,false,""
sql-e33,Easy,false,""
sql-e34,Easy,false,""
sql-e35,Easy,false,""
sql-e36,Easy,false,""
sql-e37,Easy,false,""
sql-e39,Easy,false,""
sql-e40,Easy,false,""
sql-e42,Easy,false,""
sql-e44,Easy,false,""
sql-e47,Easy,false,""
sql-e49,Easy,false,""
sql-e51,Easy,false,""
sql-e52,Easy,false,""
sql-e54,Easy,false,""
sql-e55,Easy,false,""
sql-e56,Easy,false,""
sql-e57,Easy,false,""
sql-e58,Easy,false,""
sql-e59,Easy,false,""
sql-e60,Easy,false,""
sql-e62,Easy,false,""
sql-e65,Easy,false,""
sql-e67,Easy,false,""
sql-e68,Easy,false,""
sql-e69,Easy,false,""
sql-e70,Easy,false,""
sql-e72,Easy,false,""
sql-e74,Easy,false,""
sql-e77,Easy,false,""
sql-e78,Easy,false,""
sql-e81,Easy,false,""
sql-e86,Medium,false,""
sql-m01,Medium,false,""
sql-m04,Medium,false,""
sql-m07,Medium,false,""
sql-m09,Medium,false,""
sql-m10,Medium,false,""
sql-m13,Medium,false,""
sql-m14,Medium,false,""
sql-m16,Medium,false,""
sql-m17,Medium,false,""
sql-m20,Medium,false,""
sql-m21,Medium,false,""
sql-m23,Medium,false,""
sql-m24,Medium,false,""
sql-m25,Medium,false,""
sql-m26,Medium,false,""
sql-m28,Medium,false,""
sql-m29,Medium,false,""
sql-m30,Medium,false,""
sql-m32,Medium,false,""
sql-m33,Medium,false,""
sql-m36,Medium,false,""
sql-m37,Medium,false,""
sql-m39,Medium,false,""
sql-m41,Medium,false,""
sql-m42,Medium,false,""
sql-m43,Medium,false,""
sql-m47,Medium,false,""
sql-m56,Medium,false,""
sql-m57,Medium,false,""
sql-m61,Medium,false,""
sql-h14,Medium,false,""
sql-h22,Medium,false,""
sql-h25,Medium,false,""
sql-h27,Medium,false,""
sql-h28,Medium,false,""
sql-h39,Medium,false,""
sql-h49,Medium,false,""
sql-m76,Medium,false,""
sql-m77,Medium,false,""
sql-m78,Medium,false,""
sql-h01,Hard,false,""
sql-h02,Hard,false,""
sql-h04,Hard,false,""
sql-h05,Hard,false,""
sql-h07,Hard,false,""
sql-h08,Hard,false,""
sql-h10,Hard,false,""
sql-h11,Hard,false,""
sql-h13,Hard,false,""
sql-h17,Hard,false,""
sql-h24,Hard,false,""
sql-master07,Master,false,""
sql-master13,Master,false,""
sql-master21,Master,false,""
sql-h31,Hard,false,""
sql-h32,Hard,false,""
sql-h33,Hard,false,""
sql-h34,Hard,false,""
sql-h41,Hard,false,""
sql-h42,Hard,false,""
sql-h48,Hard,false,""
sql-h51,Hard,false,""
sql-h52,Hard,false,""
sql-h53,Hard,false,""
sql-h54,Hard,false,""
sql-master01,Master,false,""
sql-master02,Master,false,""
sql-master03,Master,false,""
sql-master04,Master,false,""
sql-master05,Master,false,""
sql-master08,Master,false,""
sql-master09,Master,false,""
sql-master10,Master,false,""
sql-master12,Master,false,""
sql-master14,Master,false,""
sql-master18,Master,false,""
sql-master19,Master,false,""
sql-master25,Master,false,""
sql-master26,Master,false,""
sql-master27,Master,false,""
sql-f01,Forensic,true,""
sql-f02,Forensic,true,""
sql-f03,Forensic,true,""
sql-f04,Forensic,true,""
sql-f05,Forensic,true,""
sql-f06,Forensic,true,""
sql-f07,Forensic,true,""
sql-f08,Forensic,true,""
sql-f09,Forensic,true,""
sql-f10,Forensic,true,""
sql-f11,Forensic,true,""
sql-f12,Forensic,true,""
sql-f13,Forensic,true,""
sql-f14,Forensic,true,""
sql-f15,Forensic,true,""
sql-f16,Forensic,true,""
sql-f17,Forensic,true,""
sql-f18,Forensic,true,""
sql-f19,Forensic,true,""
sql-f20,Forensic,true,""
sql-f21,Forensic,true,""
sql-f22,Forensic,true,""
sql-f23,Forensic,true,""
sql-f24,Forensic,true,""
sql-f25,Forensic,true,""
sql-f26,Forensic,true,""
sql-f27,Forensic,true,""
sql-f28,Forensic,true,""
sql-f29,Forensic,true,""
sql-f30,Forensic,true,""
sql-f31,Forensic,true,""
sql-f32,Forensic,true,""
sql-f33,Forensic,true,""
sql-f34,Forensic,true,""
sql-f35,Forensic,true,""
sql-meesho-01,Medium,false,""
sql-meesho-02,Medium,false,""
sql-meesho-03,Medium,false,""
sql-meesho-04,Medium,false,""
sql-meesho-05,Medium,false,""
sql-meesho-06,Medium,false,""
sql-meesho-07,Medium,false,""
sql-meesho-08,Hard,false,""
sql-meesho-09,Medium,false,""
sql-meesho-10,Medium,false,""
sql-meesho-11,Hard,false,""
sql-sw01,Medium,false,""
sql-sw02,Hard,false,""
sql-sw03,Medium,false,""
sql-sw04,Hard,false,""
sql-sw05,Hard,false,""
sql-sw06,Forensic,true,""
